name,twitter_handle,twitter_handle_2,twitter_handle_3,state,party,score,congress_group
Susan Collins,SenatorCollins,,,ME,R,4.58409,Senate
Lisa Murkowski,lisamurkowski,LisaForSenate,,AK,R,3.17341,Senate
Rob Portman,senrobportman,robportman,,OH,R,2.81887,Senate
Cory Gardner,SenCoryGardner,CoryGardner,,CO,R,2.65591,Senate
Kyrsten Sinema,kyrstensinema,SenatorSinema,,AZ,D,2.42747,Senate
Shelley Moore Capito,SenCapito,CapitoforWV,,WV,R,2.23815,Senate
Maggie Hassan,Senator_Hassan,Maggie_Hassan,SenatorHassan,NH,D,1.94482,Senate
Todd Young,ToddYoungIN,SenToddYoung,,IN,R,1.92724,Senate
Martha McSally,MarthaMcSally,SenMcSallyAZ,,AZ,R,1.83145,Senate
Bill Cassidy,SenBillCassidy,BillCassidy,,LA,R,1.82578,Senate
Jerry Moran,JerryMoran,,,KS,R,1.78611,Senate
John Cornyn,JohnCornyn,,,TX,R,1.75472,Senate
Marco Rubio,marcorubio,SenRubioPress,,FL,R,1.74223,Senate
Roger Wicker,RogerWicker,SenatorWicker,,MS,R,1.7134,Senate
Gary Peters,GaryPeters,SenGaryPeters,,MI,D,1.62309,Senate
Dan Sullivan,DanSullivan_AK,SenDanSullivan,,AK,R,1.62283,Senate
Jon Tester,jontester,SenatorTester,,MT,D,1.58348,Senate
Chris Coons,SenCoonsOffice,ChrisCoons,,DE,D,1.57316,Senate
Chuck Grassley,GrassleyPress,ChuckGrassley,,IA,R,1.52958,Senate
John Boozman,JohnBoozman,Boozman4AR,,AR,R,1.51178,Senate
Kevin Cramer,kevincramer,SenKevinCramer,,ND,R,1.40017,Senate
Steve Daines,SteveDaines,,,MT,R,1.35493,Senate
Amy Klobuchar,SenAmyKlobuchar,amyklobuchar,,MN,D,1.20981,Senate
Doug Jones,SenDougJones,DougJones,,AL,D,1.15808,Senate
Jacky Rosen,SenJackyRosen,RosenforNevada,,NV,D,1.14432,Senate
Joe Manchin,JoeManchinWV,Sen_JoeManchin,,WV,D,1.12798,Senate
Roy Blunt,RoyBluntMO,RoyBlunt,,MO,R,1.07934,Senate
Tim Scott,votetimscott,SenatorTimScott,,SC,R,1.04325,Senate
Richard Burr,BurrForSenate,SenatorBurr,,NC,R,0.99633,Senate
John Hoeven,SenJohnHoeven,,,ND,R,0.95947,Senate
Thom Tillis,SenThomTillis,ThomTillis,,NC,R,0.95733,Senate
Jeanne Shaheen,SenatorShaheen,JeanneShaheen,,NH,D,0.93783,Senate
Joni Ernst,SenJoniErnst,joniernst,,IA,R,0.87397,Senate
Mike Crapo,MikeCrapo,,,ID,R,0.84921,Senate
