"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1899698,"January 11, 2021",Tennessee,Christiana,"4675 Shelbyville Pike",0,0,N/A
1899540,"January 11, 2021",Illinois,Chicago,"4800 block S Honore St",0,0,N/A
1901457,"January 11, 2021",Virginia,Portsmouth,"Summit Ave",0,0,N/A
1900722,"January 11, 2021",Texas,Brady,N/A,0,0,N/A
1900711,"January 11, 2021",California,Sausalito,"500 block of Easterby St",0,0,N/A
1899673,"January 11, 2021",Tennessee,Dyersburg,"Parks Thurmond Cir",0,0,N/A
1900684,"January 11, 2021","New York","New York (Manhattan)","608 W 135th St",0,0,N/A
1901407,"January 11, 2021",Iowa,Waterloo,"1232 Independence Ave",0,0,N/A
1900685,"January 11, 2021",Oregon,Medford,"2826 Judy Way",1,1,N/A
1899666,"January 11, 2021",Minnesota,Minneapolis,"100 block of W 56th St",0,0,N/A
1899744,"January 11, 2021",California,Oakland,"2400 block of Market St",1,1,N/A
1900586,"January 11, 2021","District of Columbia",Washington,"1500 block of 30th St NW",0,0,N/A
1901339,"January 11, 2021","North Carolina",Farmville,"5178 US-258 N",0,0,N/A
1900196,"January 11, 2021",California,Oakland,"10200 block of International Blvd",1,0,N/A
1994435,"January 11, 2021",Wisconsin,Milwaukee,"8827 W Acacia St",1,0,N/A
1899655,"January 11, 2021","New York",Brooklyn,"E 94th St and Willmohr St",0,0,N/A
1900075,"January 11, 2021",Florida,Jacksonville,"7810 New Kings Rd",1,0,N/A
1901308,"January 11, 2021",Michigan,Detroit,"Harvard Rd and King Richard St",0,1,N/A
1901310,"January 11, 2021","South Carolina",Orangeburg,"Orange St",0,0,N/A
1899618,"January 11, 2021",Tennessee,Memphis,"7065 Winchester Rd",0,1,N/A
1900506,"January 11, 2021","North Carolina","Tar Heel","14593 NC-87",0,0,N/A
1899833,"January 11, 2021",Indiana,Indianapolis,"2100 block of N Spencer Ave",1,1,N/A
1900473,"January 11, 2021","South Carolina","Rock Hill","500 block of Liberty St",0,0,N/A
2025093,"January 11, 2021","New York",Albany,"Ontario St and Hamilton St",1,0,N/A
1900154,"January 11, 2021",Florida,Bradenton,"1500 block of 14th Ave E",0,1,N/A
1900492,"January 11, 2021","North Carolina","Winston Salem (Winston-salem)","1800 block of S Martin Luther King Jr Dr",0,1,N/A
1899180,"January 11, 2021",Indiana,Indianapolis,"I-65 and I-465",0,1,N/A
2113394,"January 11, 2021",Alabama,Birmingham,N/A,1,0,N/A
1900160,"January 11, 2021",California,Ceres,"Malik Ave and Hackett Rd",1,1,N/A
1900308,"January 11, 2021",Texas,Houston,"7600 block of Airport Blvd",0,1,N/A
1899529,"January 11, 2021",California,"Thousand Oaks","2300 block of Fountain Crest Ln",1,0,N/A
1899484,"January 11, 2021","North Carolina",Durham,"Beechwood Dr and E Cornwallis Rd",0,1,N/A
1900365,"January 11, 2021","South Carolina",Greenville,"Cedar Ln Rd",0,1,N/A
1900523,"January 11, 2021",Illinois,Decatur,"3603 E William St",0,1,N/A
1901209,"January 11, 2021",Texas,Laredo,"4700 block of Sunrise Ct",1,0,N/A
1899651,"January 11, 2021","New York",Brooklyn,"E 85th St and Foster Ave",0,1,N/A
1900101,"January 11, 2021",Maryland,Baltimore,"2000 block of W Lexington St",0,1,N/A
1899759,"January 11, 2021",Arkansas,"Little Rock","8824 Geyer Springs Rd",0,1,N/A
1900575,"January 11, 2021",Illinois,Chicago,"4300 block of W Jackson Blvd",0,1,N/A
1899264,"January 11, 2021","District of Columbia",Washington,"1800 block of Providence St NE",0,1,N/A
1900599,"January 11, 2021",Illinois,Chicago,"4000 block of S Sacramento Ave",1,0,N/A
1899656,"January 11, 2021",Tennessee,Lexington,"100 block of Montgomery Courts",0,1,N/A
1899683,"January 11, 2021",Michigan,Detroit,"11030 McKinney St",0,1,N/A
1899686,"January 11, 2021",Michigan,Detroit,"12000 block of Kennebec St",0,1,N/A
1899692,"January 11, 2021",Michigan,Detroit,N/A,0,1,N/A
1900635,"January 11, 2021",Arkansas,Jonesboro,"500 block of N Caraway Rd",0,1,N/A
1900165,"January 11, 2021",California,Willowbrook,"13500 block of San Pedro St",1,0,N/A
1900655,"January 11, 2021",Illinois,Chicago,"500 block of W 103rd Place",0,1,N/A
1900657,"January 11, 2021",Illinois,Chicago,"1400 block of E 66th Place",0,1,N/A
1900041,"January 11, 2021",Alaska,Anchorage,"5901 E 6th Ave",1,0,N/A
1900144,"January 11, 2021",California,"Santa Clarita","MacMillan Ranch Rd and Warm Springs Dr",0,1,N/A
1899441,"January 11, 2021",Michigan,"Grand Rapids","1200 block of Quarry Ave NW",0,0,N/A
1900731,"January 11, 2021",Texas,Tye,"I-20 Exit 277 101 N",0,1,N/A
1899801,"January 11, 2021",Illinois,Decatur,"4400 block of N Lawson Dr",0,1,N/A
1900783,"January 11, 2021",Texas,Houston,"8930 Beechnut St",0,2,N/A
1900112,"January 11, 2021",Florida,Miami,"2001 NW 67th St",0,4,N/A
1899819,"January 11, 2021",Florida,Miami,"2491 NE 58th St",0,4,N/A
1900774,"January 11, 2021",Texas,Houston,"10222 W Forum Dr",0,1,N/A
1904639,"January 11, 2021",Virginia,Alexandria,"1100 block of Quaker Hill Dr",0,1,N/A
1900727,"January 11, 2021",California,"San Bernardino","5280 N Little Mountain Dr",1,0,N/A
1900265,"January 11, 2021",Minnesota,"Minneapolis (Brooklyn Park)","5900 block of 65th Ave N",0,1,N/A
1899909,"January 11, 2021",Kentucky,Louisville,"1300 block of Dixie Hwy",1,2,N/A
1900106,"January 11, 2021",Texas,Houston,"9501 Southwest Fwy",1,0,N/A
1899281,"January 11, 2021",Texas,Austin,"7300 block of Grand Canyon Dr",1,0,N/A
1900484,"January 11, 2021","North Carolina","Rocky Mount","S Fairview Rd and Cokey Rd",1,1,N/A
1899896,"January 11, 2021",Alabama,Gadsden,"821 E Broad St",1,0,N/A
1899379,"January 11, 2021",California,Fresno,"1302 Fulton St",0,1,N/A
1900096,"January 11, 2021",Maryland,Riverdale,"3400 block of 55th Ave",1,0,N/A
1899275,"January 11, 2021","South Carolina",Warrenville,"115 Joes Park Rd",1,0,N/A
1900414,"January 11, 2021",Texas,Houston,"13151 Bissonnet St",1,0,N/A
1900237,"January 11, 2021",Wisconsin,Milwaukee,"S 35th St and W Greenfield Ave",0,1,N/A
1899324,"January 11, 2021",California,Oakland,"1100 block of 5th St",0,1,N/A
1900889,"January 11, 2021",Florida,Miami,"NW 96th St and NW 20th Ave",1,1,N/A
1899726,"January 11, 2021",Ohio,Columbus,"800 block of Leona Ave",1,0,N/A
1899978,"January 11, 2021",Tennessee,Memphis,"2515 Covington Pike",1,0,N/A
1901064,"January 11, 2021",Minnesota,"Saint Paul","7th St E and Kennard St N",0,0,N/A
1900300,"January 11, 2021",Michigan,"Oak Park","10811 W 10 Mile Rd",1,0,N/A
1900191,"January 11, 2021",Missouri,"Saint Louis","1400 block of Hickory Ln",0,0,N/A
1899262,"January 11, 2021",Georgia,Snellville,"Rockdale Cir",0,0,N/A
1899187,"January 11, 2021",Virginia,Norfolk,"2800 block of E Princess Anne Rd",1,0,N/A
1900183,"January 11, 2021",Georgia,Jonesboro,"8000 Block of Tara Blvd",0,0,N/A
1900770,"January 11, 2021",Florida,"Zolfo Springs","Steve Roberts Special and Kelly Roberts Rd",1,0,N/A
1900199,"January 11, 2021",Georgia,Columbus,"4936 Mehaffey St",1,0,N/A
1899951,"January 11, 2021",Nevada,Henderson,"1011 Stufflebeam Ave",0,1,N/A
1899609,"January 11, 2021",California,Lincoln,"1200 Athens Ave",0,1,N/A
1900173,"January 11, 2021",Massachusetts,Worcester,"877 Main St",0,0,N/A
1900590,"January 11, 2021","New York",Bronx,"3560 Webster Ave",1,2,N/A
1900504,"January 11, 2021","North Carolina",Cary,"1120 Ledsome Ln",0,1,N/A
1901024,"January 11, 2021",Ohio,"Akron (Copley)","150 Montrose W Ave",0,0,N/A
1900218,"January 11, 2021","South Carolina","Myrtle Beach","500 block of 34th Ave N",1,1,N/A
1899956,"January 11, 2021",Pennsylvania,Harrisburg,"3906 N 6th St",1,0,N/A
1900156,"January 11, 2021","North Carolina",Washington,"2040 Slatestone Rd",1,0,N/A
1903334,"January 11, 2021",Pennsylvania,Philadelphia,"6700 block of Woodland Ave",0,1,N/A
